reviewer_name,reviewer_header_comment,reviewer_detail_comment,review_date,product_star
by Muhammed,Good product,Lasting battery,02-05-2022,5 out of 5
by Nasiru,Great,Match the description,29-04-2022,5 out of 5
by Adeola Amos,Nice,Nice product,29-04-2022,5 out of 5
by Adekunle,I like it,It is very smart at hand and worth the price. Exactly what I ordered for.,29-04-2022,4 out of 5
by A real buyer,It’s perfect,Just buy this product it’s good on God,29-04-2022,5 out of 5
by LASISI,nice and cool,Beautiful and decent,28-04-2022,4 out of 5
by UJU,Its fine,Still working and very light.,28-04-2022,4 out of 5
by PRINCE GEORGE,Excellent,Works as described,27-04-2022,5 out of 5
by Omotayo,Delighted,I love it.,26-04-2022,5 out of 5
by Folaranmi,perfect,Excellent,26-04-2022,5 out of 5
by Rasaki,I love it,"Very effective and efficient, Kee it up.",26-04-2022,5 out of 5
by Jimoh,works Great,love the freedom ... no more battery change,25-04-2022,4 out of 5
by Lewis,very good,you should purchase,25-04-2022,4 out of 5
by pamela odurukwe,Love it,Sleek and fancy,25-04-2022,5 out of 5
by Henry okafor,Great product,"Exactly as described, rgb light works perfectly",25-04-2022,5 out of 5
by Ayodele,wireless mouse,"It good and the battery is durable, and it highly sensitive",25-04-2022,5 out of 5
by Prince Ekene,Great,Works really well and long battery life,22-04-2022,5 out of 5
by okoror,my review,Small size and responds very fast. The inbuilt battery last very long,22-04-2022,5 out of 5
by Zappy⚡⚡,perfect,Very nice,21-04-2022,5 out of 5
by yasir,okay,Okay good thanks,21-04-2022,5 out of 5
by Ogunyemi,I love it,"Working good and even my kids love it, because of the multicolor light",21-04-2022,5 out of 5
by MR OSARODION,Awesome Product,"I had to wait for like A week plus to give my review. This mouse is very niice and works fine. I like the silent clicks and it lasts like hell. And also very responsive, u will get to adjust to it though. Still the mouse is highly recommended. Cheers.",21-04-2022,5 out of 5
by Osas,cute,So light and so fast,19-04-2022,5 out of 5
by Ogenyi,is good,It is not bad and the batteries last,19-04-2022,4 out of 5
by Nnamdi,Good product,Love it,18-04-2022,5 out of 5
by Victor,Ultra thin mouse is very good,Sleekness and noiseless,18-04-2022,5 out of 5
by Nnamdi,plenty love.,I swear I love this mouse,15-04-2022,5 out of 5
by Richard Franklin,Best,Excellent,15-04-2022,5 out of 5
by Kelechi,good,It's good,15-04-2022,4 out of 5
by Daniel,Spectacular,"I so much love the mouse, quality, the colorful lights, texture and all. I recommend anyone to get it to.",15-04-2022,5 out of 5
by Chi_chi_limited,I like it,It's super cool,15-04-2022,4 out of 5
by David,just so nice and sleek too,Battery lasts on little charge,14-04-2022,5 out of 5
by Abellilo,I like it,It's a fantastic product and the battery last for a rechargeable device.,13-04-2022,5 out of 5
by Josiah,The colour lighting and charge,The colour lighting around the edge is just so beautiful and the fact that it is chargeable,13-04-2022,5 out of 5
by BLESSING,great,Great product,13-04-2022,5 out of 5
by Bakare,I like it,"Just as the features had stated 
Noiseless, potable and durable",13-04-2022,5 out of 5
by Oluwaseun,Good,Sleeky,12-04-2022,5 out of 5
by Bello Habeeb,I love it,"I love it, it really work perfect",12-04-2022,5 out of 5
by Ibukun,I like it,It is a very good product. Good battery and good shape.,11-04-2022,5 out of 5
by Bolaji,I like it,The cursor moves fast and portable when handling it,11-04-2022,5 out of 5
by ODUNAYO,Nice one,This is a Nice And colourful product,11-04-2022,4 out of 5
by IDRIS,good,It's working fine,11-04-2022,5 out of 5
by Wisdom,Great,Better than I expected,08-04-2022,4 out of 5
by Alabi Yusuf,I love it,Sleek and nice,08-04-2022,5 out of 5
by Akintan,Its cool,"Its pretty good, it also possesses a good battery",07-04-2022,5 out of 5
by Damilola,I like it,It's great the inbuilt battery saves me the stress of battery ???? buying and saves cost,07-04-2022,4 out of 5
by Osemanre,Cool,Nice feel,06-04-2022,5 out of 5
by Korede,Much love,"Sleek, the light is beautiful, everything about it is dope, also very thin, battery is strong, this is my 3rd day using it after a single full charge",01-04-2022,5 out of 5
by Akinboyewa,Perfect,Very lovely,01-04-2022,5 out of 5
by Olukayode,I like it,It’s a great mouse. It works perfectly.,31-03-2022,5 out of 5
by Chidinma,GREAT ONE,"It's great, noiseless and fast. But the battery is not as strong, so you need to charge it daily.",31-03-2022,4 out of 5
by Faithful,nice ultrathin wireless mouse,"Easy to use, smooth body and long lasting battery.",31-03-2022,5 out of 5
by ADELABU SUNDAY,Awesome,"It's great
The battery strength is wow 
Nice",31-03-2022,5 out of 5
by Abiodun,Working good,Lovely,30-03-2022,5 out of 5
by Emmanuel,I love it,Its sleek and effective. Plus the battery last days up to a week and more. Actually just ordered another one.,28-03-2022,5 out of 5
by MARK,Love it,"Awesome product, very functional.",25-03-2022,4 out of 5
by Abiodun,I don't like it,The product was totally different from what I saw on the app......this is really bad,24-03-2022,1 out of 5
by Kosisochukwu,I love it,Really good!!. Battery lasts well for about 3 days after about 30 mins of charging. Never let it hit a hard surface for longevity. Glowing led lights are beautiful and match my glowing rgb gaming mouse pads. The almost silent click sound is my best feature. Smooth operation and very ergonomic.,23-03-2022,5 out of 5
by Achinike,its sleek,It's effective,21-03-2022,5 out of 5
by Seun,Its okay but battery isnt too strong,The battery doesn't last,15-03-2022,3 out of 5
by KELECHY,Its looks as it appears on the website,Its looks as it appears on the website,15-03-2022,4 out of 5
by Bridget,Nice,Its a nice product.  Exactly as adverised,14-03-2022,5 out of 5
by Blessed,it's perfect,More than what I expected,14-03-2022,5 out of 5
by Victor,The smoothness,"The mouse is very smooth to use
I get so comfortable with it in my hands????????????",14-03-2022,5 out of 5
by Femi,ok..,Great to use,14-03-2022,5 out of 5
by Micoboh,elegant design,smooth & cool feeling. Fits perfectly into ones hand.,14-03-2022,5 out of 5
by Taiwo,fair,Fair and okay,11-03-2022,3 out of 5
by Justice Iherizie,I like it,It's ok. And portable,10-03-2022,5 out of 5
by NASIRUDEEN,I like it,Wow! Love it,09-03-2022,5 out of 5
by Engr Oka Daniel,I LIKE IT,Seems very good.,08-03-2022,4 out of 5
by HARUNA,I like it,I like it,08-03-2022,4 out of 5
by THEOPHILUS,LOW SENSOR,"It has very low sensitivity, i had to give it out in the end",07-03-2022,2 out of 5
by Taofeek,"ok, but not working on my table except mouse pad",it ok but it wont work on my table without a mouse pad or a rough suface,06-03-2022,3 out of 5
by Taofeek,"ok, but not working on my table except mouse pad",it ok but it wont work on my table without a mouse pad or a rough suface,06-03-2022,3 out of 5
by OBI,Nice,Nice product,06-03-2022,5 out of 5
by WALE,it not workink perfectly,There's need to sell quality,04-03-2022,1 out of 5
by Amroma,Very good,Working perfectly,28-02-2022,4 out of 5
by Samuel,ABSOLUTELY AS EXPECTED,The product is very ok and works perfectly well with the lightening,14-02-2022,4 out of 5
by Victor,it'ssss oka ????,Make sure to charge it for like 2-3 days straight before first use,14-02-2022,2 out of 5
by Jeremiah,Perfect,I love it,08-02-2022,5 out of 5
by Faizol,nice,It's OK,08-02-2022,4 out of 5
by Shola,Lovely Product,"it has been serving me effectively, a good buy for the amount of purchase",08-02-2022,4 out of 5
by BEN,Perfect,I just love how it works..,07-02-2022,5 out of 5
by EMMANUEL IMISIOLUWA,Quite good,It’s okay..,04-02-2022,4 out of 5
by Ezinne,it was perfect,It was perfect it's durable and I got what I ordered for,02-02-2022,5 out of 5
by Cephas,Works perfectly,"Works very well
Even better than it looks",01-02-2022,5 out of 5
by ABDULAZEEZ,I like it,Very Good,31-01-2022,5 out of 5
by Joseph Yakubu,Bluetooth,It’s already great as it is but it’ll be much better if you could connect it. To your pc without having to connect the receiver,31-01-2022,5 out of 5
by Oloyede,I love it,It works perfectly. The light on the mouse is super cute. The battery lasts well,27-01-2022,5 out of 5
by Fidelis,Hmm I so much love this mouse.,Pls don't think twice because u are missing if u don't have this product,27-01-2022,5 out of 5
by Hespee,Received the package in good conditio,Always display pictures of the exact item.,27-01-2022,4 out of 5
by Dare,cool,Cool makes me feel techy  but it should be more for the price,26-01-2022,5 out of 5
by David,It's okay just as described,The product is okay. I like it. It's exactly as described with the ???? glow :),24-01-2022,5 out of 5
by Tobi David,It’s okay,The colors are working perfectly,24-01-2022,3 out of 5
by Obembe,Cool,Good product,20-01-2022,4 out of 5
by Joshua,Great,Lovely to use. I strongly recommend,18-01-2022,5 out of 5
by Joshua,cool mouse,It's chargeable,18-01-2022,5 out of 5
by Sam,I love it!,The product is quite sleek and gentle to the hands.,17-01-2022,5 out of 5
by Olanrewaju,I like it.,It's as described. Beautiful!,11-01-2022,5 out of 5
by Mary,Nice,"Works well on windows and on my mac. 
The photo/description says it has rainbow backlight which changes automatically when connected to a computer. Nothing like that happens. It just gives red light when in use, and blue light when charging. Apart from this false advertising, it's a great product.",06-01-2022,4 out of 5
by Bianca,ok,It falls apart easily,05-01-2022,4 out of 5
by Udeme,Amazing Product,Beautiful and functional.,04-01-2022,5 out of 5
by Toluwanimi,amazing,"It works perfectly, saves energy,easy to charge, sensitive, light, classy, it's really great",04-01-2022,5 out of 5
by ADEYINKA,I like it,Working as expected,16-12-2021,4 out of 5
by Ismail kabir,It's worth it,"It's not as noisy as the conventional mouse when it's being clicked.

The light doesn't disturb the eye at night and it beautifies the room.

It's a smart mouse because it saves power when not in use.",07-12-2021,4 out of 5
by Olasupo,IT IS PERFECT,It works perfectly,03-12-2021,5 out of 5
by Philip,okay,It is peeling off (the colour),30-11-2021,3 out of 5
by Yusuf,Perfect,Perfect for my need,22-11-2021,5 out of 5
by OLAWOLE,perfect,been looking for a product like this for a long time. must have product,19-11-2021,5 out of 5
by jonathan,good,Beautiful,17-11-2021,5 out of 5
by Abuchi Madu,Good,It okay,16-11-2021,3 out of 5
by Charles,Great product,I love it,16-11-2021,5 out of 5
by charles,Great Product,Still working with good battery life.,09-11-2021,5 out of 5
by Okafor David,its perfect,It's perfect,08-11-2021,4 out of 5
by Skyler,This is awesome,I totally love this,05-11-2021,5 out of 5
by Emmanuel,A really good one,Just so exact,04-11-2021,5 out of 5
by Jeremiah,I like it,The feel is great,03-11-2021,5 out of 5
by Suleiman,LOVELY PRODUCT,"it's a pleasure transacting with you and it got to me a day before the actual date. Good product, fast delivery.",03-11-2021,5 out of 5
by Ihiogu miracle,Really cool,Its beautiful and really cool to use especially with the lights on.,18-10-2021,5 out of 5
by Adewale,I like it,Fulfilled the full purpose for which it was purchased.,12-10-2021,5 out of 5
by Emmanuel,Perfect Mouse,"I like how long lasting it is and I also love the fact that the mouse hibernate, I mean it saves energy ????♥️ it also connects without stress????????",10-09-2021,5 out of 5
by Augustine,It's ok,Works well,26-07-2021,4 out of 5
by VICTOR,I like it,It is working for me,17-07-2021,5 out of 5
by Obi obi,I like it very much,Delivered as pictured,12-07-2021,4 out of 5
by BILKISU,Nice,I like it much,28-06-2021,4 out of 5
by Abiodun,I LOVE IT,It is a nice design,27-06-2021,5 out of 5
by Yahaya Yusuf D,Great product,Quiet and fast as advertised,19-06-2021,4 out of 5
